question,option1,option2,option3,option4,answer
"「働く環境の変化に対応できるキャリアコンサルタントに関する報告書」（厚生労働省、
令和 3 年 6 月）で示された、キャリアコンサルティングの普及活動に関する次の記述の
うち、最も不適切なものはどれか。","企業におけるキャリア開発は、点と点の細切れの取組みとなるケースも見受けられること
から、キャリアコンサルタントには、連続的・長期的なキャリア形成支援を念頭に、それ
ぞれの取組みを一本に繋ぐような支援がなされることに期待が寄せられる。","企業におけるキャリア開発は、点と点の細切れの取組みとなるケースも見受けられること
から、キャリアコンサルタントには、連続的・長期的なキャリア形成支援を念頭に、それ
ぞれの取組みを一本に繋ぐような支援がなされることに期待が寄せられる。労働者のキャリア目標の明確化やキャリア形成支援を組織全体で実践するためには、キャリアコンサルタントと人事部門あるいは上司・部下関係等の組織内における、キャリア形成に向けた円滑なコミュニケーションの向上を図ることが有効な手段である。","ジョブ・カードは、就業経験の少ない人向けに開発されており、労働市場へ参加するため
のスキル獲得に関わる支援での活用を想定している。","若年者層は高年齢層と比較してキャリアコンサルティング経験が多いという結果を示す
データがあり、個人へキャリアコンサルティングの認知を高めるには、特に中高年齢層を
意識した支援を実践していく必要がある。",3
"企業領域で活動するキャリアコンサルタントのネットワークの認識と実践に関する次の
記述のうち、最も不適切なものはどれか。"," これまでも転職する社員と可能な限り退職時面談をしてきたが、最近はアルムナイ（定年
退職者以外の退職者）の意味づけが変わってきたので、社外ネットワークとして大事に維
持しようと考えている。","健康とキャリアの2つの問題を同時に抱える社員が一定数いるので、産業医や健康管理ス
タッフと関係作りをして、個別の案件にきめ細かく対応しようとしている。","人事部がエンゲージメントサーベイを定期的に行ってデータを利活用しているので、特に
相談者の同意は得ていないが、キャリア面談で得られた詳細な情報もデータベースに統合
して活用できるようにしている。","教育部門と IT 部門が協働して社員が自発的に PC で学習できるラーニング・マネジメン
ト・システムを構築しているので、キャリアコンサルタントも参画して社員にリスキリン
グを推奨する役割を担っている。
",3
" キャリアコンサルタント倫理綱領（2016年）に関する次の記述のうち、最も適切なもの
はどれか。","キャリアコンサルタントの活動を規定する原理・基準を示したものとして、厚生労働省が
公表している。",キャリアコンサルタントが自らを律する基本的姿勢・態度や、行動規範等が示されている。," キャリアコンサルタントは、相談者の利益と同等に事例や研究の公表が重要であることを
自覚し、キャリアコンサルティングの発展に貢献するよう努めることが示されている。","キャリアコンサルタントは、相談者が非合理な判断をしようとしている場合、キャリア形
成上の問題・課題の解決という使命を持って説得に努めなければならないことが示されて
いる。",2
"キャリアコンサルタントとクライエントとの関係に基づいた行動に関する次の記述のう
ち、職業倫理に照らし問題ない行動として最も適切なものはどれか。","クライエントから、相談室以外の場所で話を聴いてほしいとの要望があったので、レスト
ランで食事をしながら面談することにした。","クライエントから残業で面談に行けるのが 21 時ごろになってしまうと連絡があったが、
その時刻では相談室に誰もいないので、面談日の変更を申し出た。","クライエントが税理事務所に勤める職員であったので、本日の面談の料金を無料にする代
わりに確定申告の資料作成を依頼した。","クライエントが緊張しているようで話が進まないので、キャリアコンサルタント自身の趣
味に関する話題提供を中心として面談を終えた.",2
" 「令和5年版労働経済の分析」（厚生労働省）で示された、転職に関する次の記述のうち、
最も適切なものはどれか。","直近の5年間（2018年～2022年）では、転職等希望者に対して実際に転職した人の比
率は年々高まっており、より転職を実現しやすくなっている。","20～40歳台の正社員・正職員で、情報収集以上の転職活動をしたが転職しなかった人が
挙げる理由の中で最も多いのは「自分に合う職種が分からない」である。"," 45～74 歳の中高年層で、転職を希望しつつも転職しなかった人が挙げる理由の中で最
も多いのは「新しい環境に不安だったから」である。"," 転職前後の賃金を比較すると、年齢層にかかわらず、賃金が増加している人の方が、減少
している人よりも多い。",3
" 2022年4月に改正された、職業能力開発促進法に関する次の記述のうち、最も不適切な
ものはどれか。","事業主は、キャリアコンサルティングの機会を確保する場合には、キャリアコンサルタン
トを有効に活用するように配慮するものとする。","労働者がキャリアコンサルティングの実施を要望した場合は、その求めに応じる必要が
ある。","職業能力の開発及び向上の促進に向けては、40 歳、50 歳といった節目の年齢でキャリ
アプランを記入させたものを、人事台帳として整えることを義務づけている。","労働者が実務の経験を通じて自ら職業能力の開発及び向上を図ることができるようにす
るために、事業主は、労働者の配置その他の雇用管理について配慮するものとする。",3
" 「職場における学び・学び直し促進ガイドライン」（厚生労働省、令和4年6月）で示さ
れたキャリアコンサルティング・キャリアコンサルタントの役割に関する次の記述のう
ち、最も適切なものはどれか。","学び・学び直しには、労働者の自主性・主体性が重要である観点から、キャリアコンサル
タントは学び・学び直しの方向性・目標の決定に際してのみ支援するのが望ましい。","学び・学び直しにおいて、キャリアコンサルタントは管理職等の現場リーダーのサポート
役や、現場リーダーと労働者の仲介役としても期待されている。","職業キャリアが長い労働者であればあるほど、自らの強みや能力は理解しているので、キ
ャリアの棚卸しが学ぶ意欲の向上につながる効果は薄い。"," 副業・兼業も新たな学びの機会ではあるが、労働者個人の経験・収入の獲得が主たる目的
のため、学び・学び直しの推進とは一線を画すものであり、企業内でのキャリアコンサル
ティングの対象とはならない。",2
" パーソンズ（Parsons, F.）に代表される、特性-因子論に関する次の記述のうち、
最も不適切なものはどれか。",個人の能力・特性と職業要件が一致するほど、仕事の満足度は高くなる。,"個人には、最も自分らしく働ける仕事のスタイルがあり、それを船を港に係留する錨に例
えた。",個人は他の人と異なる能力を持っており、それを測定することができる。,個人は、自分の能力・特性に最もふさわしい職業を選択する。,2
" 次の記述のうち、クランボルツ（Krumboltz, J. D.）が挙げたキャリア選択過程に影響を
与える要因として、最も不適切なものはどれか。",積極的不確実性の予測,社会経済などの情勢や家族状況およびその変化,性差・身体的特性・知能や特別な才能,目標に向かって行動していく課題解決行動のスキル,1
" ハックマンとオルダム（Hackman, J. R. & Oldham, G. R.）が提唱した職務特性理論
に関する次の文章のうち、（ ）に入る語句として、適切なものはどれか。",家庭との両立,コンピテンシー, 社会貢献,自律性,4
" スーパー（Super, D. E.）の提唱するキャリアの理論に関する次の記述のうち、不適切な
ものはどれか。","個人がある職業に就きたいと語るとき、その語りには本人の自己概念が含まれていると解
釈できる。","個人のキャリア・パターンは、親の社会経済的レベルや本人の知的能力と関わりなく、教
育レベルなどの与えられた機会によって決定される","職業適合性（vocational fitness）に関して、個人と職業との関係をダイナミックに説
明しようとした。","キャリア発達を表すライフ・キャリア・レインボーは、時間の次元と役割の次元から構成
される。",2
" ジェラット（Gelatt, H. B.）の意思決定理論に関する次の記述のうち、最も適切なもの
はどれか。","予期システム、価値システム、調整システム、決定システムという4段階でキャリアの意
思決定が行われる。",予期システムとは、選択可能な行動とその結果の予想を行うことを指す。,"価値システムとは、可能な選択肢を目的や目標に照らし合わせて評価し、決定基準にあっ
ているか評価することを指す。","決定システムとは、予測される結果がどれくらい自己にとって望ましいか決定すること
を指す。",2
中高年のライフステージとキャリアに関する次の記述のうち、最も適切なものはどれか。,"エリクソン（Erikson, E. H.）が個体発達分化の図式に示した、老年期にあたる世代の主
な発達課題は、「世代性」対「成熟性」である。","レビンソン（Levinson, D. J.）は、中年期から老年期への移行期を「人生半ばの過渡期」
と呼び、「自らの限界を受容すること」、「獲得した地位や利益を保持すること」などが主要
な課題であるとした。","岡本は「岐路としての中年期」に焦点を当て、アイデンティティ危機における心理的変化
の特徴から、中年期の「アイデンティティ再体制化のプロセス」を明らかにした。","スーパー（Super, D. E.）は、高齢期におけるキャリア発達の中心的なプロセスは成熟
であるとして、「キャリア成熟」の概念を見出し、発達課題に対処しうるためのレディネス
と定義した。",3
" ブリッジズ（Bridges, W.）が提唱したトランジション（転機）のプロセスに関する次の
記述のうち、最も不適切なものはどれか。","すべてのトランジションは何かの「終わり」から始まるため、外的にも内的にも、新しい
ものを手に入れる前に、古いものから離れなければならない。"," トランジションにおける「終わり」は象徴的な死であり、それまで慣れ親しんだ社会的な
文脈からの離脱やアイデンティティの喪失などを経験する。","トランジションの「終わり」と「始まり」の間には、中間の空白または休養期間があり、
自由で充実した時を経験する。","トランジションの「始まり」では、それまでの空白期間に得られた洞察や考えを形にした
り行動に移したりする。",3
"カウンセリングの理論や心理療法の名称、その提唱者に関する次の記述のうち、組み合
わせとして適切なものはどれか。","アイビイ（Ivey, A. E.）、ゲシュタルト療法","カーカフ（Carkhuff, R. R.）、マイクロカウンセリング","パールズ（Perls, F. S.）、ヘルピング技法"," ベック（Beck, A. T.）、認知療法",4
" 次の記述のうち、フロイト（Freud, S.）の理論の内容として、適切なものはどれか。","「口唇期」、「肛門期」、「エディプス期」、「潜伏期」、「性器期」からなる発達段階に応じて、
リビドーが重点的に供給される身体部位が変化すると考える発達論を提唱した。","生後約1年間の心の世界を基盤として、人生の構えが形成されるとし、「妄想分裂ポジシ
ョン」と「抑うつポジション」を提唱した。"," 環境と子どもの空想世界の相互作用を重視し、「原初的没頭」、「ほど良い母親」、「脱錯覚
（幻滅）」などの概念を提唱した。","母子の相互作用に基づいた「コンテイナー／コンテインド」モデルを提唱し、治療モデル
に組み込んでいる。",1
" 「職場における学び・学び直し促進ガイドライン」（厚生労働省、令和4年6月）で示さ
れた、職場における学び・学び直しに関する次の記述のうち、最も適切なものはどれか。","企業・労働者を取り巻く環境変化が急速かつ広範に進む時代にあっては、労働者の自律的・
主体的な学びの促進が重要であり、これまでの企業主導型の職業訓練の必要性は低くなる。","実際の業務に即した実践的な学びを支援する企業の人的投資の国際比較（2010-2014年
対GDP比）を見ると、日本は先進国の中間水準にある。","企業における働き方の自由度の高まり（働き方の個別化）が進む中にあっては、労働者の
学び・学び直しの伴走的支援はキャリアコンサルタントが中心となり、管理職等の現場リ
ーダーの役割の重要性は低くなる。","労働者が自律的・主体的・継続的な学び・学び直しを行うための労使協働の取り組みは、
労働者のエンゲージメントの向上にもつながることが期待できる。",4
"「令和 4 年度能力開発基本調査 調査結果の概要（個人調査）」（厚生労働省）で示され
た、労働者の職業生活設計に関する次の記述のうち、適切なものはどれか。",令和3年度中にキャリアコンサルティングを受けた正社員は、30％を上回っている。,"キャリアに関する相談をする主な組織・機関について、「企業内の人事部以外の組織また
はキャリアに関する専門家（キャリアコンサルタント）」と回答した正社員は、30％を下
回っている。","キャリアに関する相談が役立ったことの内訳として、正社員では「仕事に対する意識が高
まった」よりも、「適切な職業能力開発の方法がわかった」を挙げる者の割合が高かった。","キャリアコンサルタントに相談したい内容として、正社員では「将来のキャリアプラン」
よりも、「適切な職業能力開発の方法（資格取得、効果的な自己啓発の方法等）」を挙げる
者の割合が高かった。",2
 教育訓練給付制度に関する次の記述のうち、適切なものはどれか。,"教育訓練給付制度とは、労働者の主体的なスキルアップを支援するため、文部科学大臣の
認定を受けた講座を受講・修了した人に対し、その費用の一部を支給する制度である。","労働者が「正規社員」か「非正規社員」かによって、専門実践教育訓練と一般教育訓練の
2種類が設定されている。",教育訓練給付金の支給対象者は、受講開始日において雇用保険の被保険者で、支給要件期間を満たした在職者のみである。,"ハローワークで支給要件照会を行うと、受講開始（予定）日現在における受給資格の有無
をあらかじめ確認することができる。",4
 人材開発支援助成金に関する次の記述のうち、適切なものはどれか。,人材開発支援助成金の一部のコースでは、事業内職業能力開発計画の作成や職業能力開発,"人材開発支援助成金の一つである人材育成訓練は、正規雇用労働者および非正規雇用労
働者を対象としており、訓練経費助成率は正規・非正規で同率となっている。","人材開発支援助成金は、企業における Off-JT について助成されるが、OJT については
一切助成されない。","人材開発支援助成金は、職業訓練等を実施する事業主に対して訓練経費は助成されるが、
訓練期間中の賃金については助成されない。",1
 副業・兼業に関する次の記述のうち、最も適切なものはどれか。,"労働者が労働時間以外の時間をどのように利用するかは労働者の自由であることから、使
用者は、いかなる場合であっても労働者の副業・兼業を制限することは許されない。","管理監督者が、兼業・副業として労働契約を締結して他社の企業に勤務した場合、労働基
準法の規定により、労働時間は複数の企業での労働時間が通算される。","副業・兼業制度を受け入れる企業のメリットの一つとして、従業員が社外から新たな知
識・情報や人脈を入れることで、事業機会の拡大につながることが挙げられる。","「副業・兼業に関するアンケート調査結果」（一般社団法人日本経済団体連合会、2022
年）によると、自社の社員が社外で副業・兼業することを「認めている」と回答した割合
は30%に満たない。",3
"キャリア形成・リスキリング支援センターに関する次の記述のうち、最も適切なものは
どれか。","「副業・兼業に関するアンケート調査結果」（一般社団法人日本経済団体連合会、2022
年）によると、自社の社員が社外で副業・兼業することを「認めている」と回答した割合
は30%に満たない。","キャリア形成・リスキリング支援センターが実施するキャリアコンサルティングでは、コ
ンサルティングの一環として職業紹介も実施している。","キャリア形成・リスキリング支援センターが支援する雇用型訓練は、在職者を対象として
おり、新たに雇い入れた訓練生は対象外となる。","キャリア形成・リスキリング支援センターでは、ジョブ・カードを活用したキャリア形成
支援を行っているが、その対象には学生も含まれる。",4
" 「令和4年度能力開発基本調査 調査結果の概要」（厚生労働省）に関する次の記述のう
ち、適切なものはどれか。","キャリア形成・リスキリング支援センターでは、ジョブ・カードを活用したキャリア形成
支援を行っているが、その対象には学生も含まれる。","キャリアコンサルティングを行うしくみを正社員に対して導入している事業所は、半数
を超えている。",計画的なOJTを正社員以外に対して実施した事業所は、20％を超えている。,"事業内職業能力開発計画をいずれの事業所においても作成していないとする企業は、半
数以下である。",3
" 「令和5年版労働経済の分析」（厚生労働省）で述べられた、雇用・失業情勢の動向に関
する次の記述のうち、最も適切なものはどれか。",2022年における我が国の完全失業者数は、500万人を超えている。,"
2022年における我が国の雇用者に占める非正規雇用労働者の割合は、約7割である。","我が国においてはここ10年ほどにわたり、感染症の影響があった2020年を除き、非労
働力人口は減少傾向にある。","我が国においてはリーマンショック以降、完全失業率は減少傾向にあったものの、2020
年以降現在に至るまで上昇傾向に転じた。",3
" 「令和5年版労働経済の分析」（厚生労働省）で述べられた、賃金の現状と課題に関する
次の記述のうち、最も適切なものはどれか。",企業が稼ぐ付加価値額が長期的に減少傾向にあることが、我が国において賃金が伸び悩んだ背景にある。,"企業が稼ぐ付加価値額が長期的に減少傾向にあることが、我が国において賃金が伸び悩ん
だ背景にある。","若年期に入職し、そのまま同一の企業で勤め続ける正規雇用の雇用者である「生え抜き正
社員」の賃金カーブ（勤続年数と賃金との関係）の傾きは、2005 年と比べて、どのよう
な企業規模でも緩やかにはなっていない。","多様な層の労働参加に伴い、賃金以外にも希望する労働条件が多様化すると、賃金に対し
て下押し圧力（値上げの抑制圧力）が生じる可能性がある。",4
"次の記述のうち、「三位一体の労働市場改革の指針」（新しい資本主義実現会議、令和 5
年）において示された、三位一体で進める改革に当てはまらないものはどれか。",一億総活躍社会の実現,リ・スキリングによる能力向上支援,個々の企業の実態に応じた職務給の導入,成長分野への労働移動の円滑化,1
" 職業能力開発推進者に関する次の記述のうち、適切なものの組み合わせはどれか。
A. 事業主は、職業能力開発促進法の規定により、職業能力開発推進者を選任すること
が義務化されている。
B. キャリアコンサルタント等の職業能力開発推進者の業務を担当するための必要な
能力を有する者から選任するものとされている。
C. 複数の事業所があったとしても、企業全体で1名選任すればよい。
D. 社内で従業員の職業能力開発を計画的に企画・実行する取組みを積極的に推進する
キーパーソンである。
",A と B,C と D, A と C,B と D,4
 労働者災害補償保険法に関する次の記述のうち、正しいものはどれか。,昼間学生のアルバイト中の事故は、労災保険の対象とはならない。,"通勤途中にスーパーマーケットに立ち寄って買い物をしていた際の転倒事故も、通勤災
害が適用される。","労災保険給付を受給した労働者は、会社に対して民事損害賠償請求を提訴することが禁
じられている。","公共交通機関による通勤を届け出ていたにもかかわらず、会社に黙ってバイク通勤中に
事故に被災し、怪我をした労働者も通勤災害適用の対象となる場合がある。",4
 男女雇用機会均等法に関する次の記述のうち、正しいものはどれか。,"妊娠中の女性労働者のつわり症状が著しく、主治医から職務軽減措置等の保健指導がなさ
れた場合であっても、会社に職務軽減措置等の実施が義務づけられることはない。","妊娠中の女性労働者に対する解雇は、原則として禁じられているが、出産後1年以内に復
職した女性労働者に同規定は適用されない。"," 労働者の募集又は採用に当たって、労働者の身長、体重等を要件とすることは、性別を理
由とした差別ではないので、男女雇用機会均等法違反に該当しない。","男女雇用機会均等法上の妊娠・出産等を理由とした不利益取扱い禁止の中には、正社員を
一方的にパート社員に転換する等の会社側対応も含まれる。",4
 雇用保険制度に関する次の記述のうち、正しいものはどれか。,雇用保険は、政府が管掌する任意加入の保険制度である。,雇用保険制度における雇用保険二事業は、雇用安定事業と能力開発事業である。,育児休業給付と出産手当金は、共に雇用保険から給付される。,日雇労働者は雇用保険の被保険者になることはできない。,2
"「インターンシップを始めとする学生のキャリア形成支援に係る取組の推進に当たって
の基本的考え方」（文部科学省、厚生労働省、経済産業省、令和4年一部改正）で示され
た、インターンシップに関する次の記述のうち、不適切なものはどれか。","「学生のキャリア形成支援に係る産学協働の取組み」は 4 つの類型に整理され、そのう
ち、タイプ2の「キャリア教育」はインターンシップであるとされた。","令和5 年度以降、タイプ 3 の「汎用型能力・専門活用型インターンシッフ?」に限り、
取得した学生情報を、3月以降は広報活動に使用できる。","インターンシップを始めとしたキャリア形成支援に係る取組は、企業等の場における学
生に対する教育活動である。","タイプ 4 の「高度専門型インターンシップ」は、大学と企業が連携して実施するプログ
ラムで、就業体験が必須となっている。",1
" 高等学校学習指導要領（文部科学省、平成30年）で示された、キャリア教育の位置づけ
に関する次の記述のうち、最も不適切なものはどれか。",学ぶことと自己の将来とのつながりを見通しながら進められる。,週1時間のキャリア教育の時間が設定され、教育活動が展開される。,特別活動を要として各教科・科目の特質に応じて実施される。,"社会的・職業的自立に向けて必要な基盤となる資質・能力を身に付けていくことができる
よう充実を図る。",2
"中学校における、進路指導やキャリア教育に関する次の記述のうち、不適切なものはど
れか。","進路指導・キャリア教育専任教員がすべての学校に配置され、授業は行わず進路指導・キ
ャリア教育に専念している。","進路指導・キャリア教育は一般的には校務分掌に位置付けられ、その役割が教員間で分担
されている。",進路指導・キャリア教育は進路指導主事あるいは主幹教諭によってつかさどられている。,"進路指導・キャリア教育においては、生徒の就職に際し学校長に公共職業安定所の業務の
一部を分担させることができる。",1
" 2023年9月に改正された、「心理的負荷による精神障害の労災認定基準」（厚生労働省）
の改正内容に関する次の記述のうち、不適切なものはどれか。","具体的出来事に「顧客や取引先、施設利用者等から著しい迷惑行為を受けた」（いわゆる
カスタマーハラスメント）が追加された。",具体的出来事に「感染症等の病気や事故の危険性が高い業務に従事した」が追加された。,"悪化前おおむね6か月以内に「特別な出来事」（特に強い心理的負荷となる出来事）がな
ければ、業務起因性を認めないこととした。","医学意見の収集方法として、特に困難なものを除き専門医 1 名の意見で決定できるよう
変更された。",3
" 「健康づくりのための睡眠ガイド2023」（厚生労働省）で述べられた、メンタルヘルス
と深い関わりのある睡眠に関する次の記述のうち、不適切なものはどれか。","成人の場合、睡眠時間が7時間前後の場合に、生活習慣病やうつ病の発症及び死亡リスク
が最も低い。","日中にできるだけ日光を浴びることで、夜間のメラトニン分泌量が増加し入眠が促進さ
れる。",睡眠障害が疑われる場合は、3か月以上は様子を見てから、受診するか検討すべきである。,アルコールは一時的には寝つきを促進するが、睡眠後半の眠りの質を顕著に悪化させる。,3
" 「事業場における治療と仕事の両立支援のためのガイドライン」（厚生労働省、令和6年
3月）で示された内容に関する次の記述のうち、最も不適切なものはどれか。","事業者が疾病を抱える労働者を就労させると判断した場合は、業務により疾病が増悪しな
いよう、治療と仕事の両立のために必要となる一定の就業上の措置や治療に対する配慮を
行うべきである。","このガイドラインが対象とする疾病は、がん、脳卒中、心疾患、糖尿病、肝炎、その他難
病など、反復・継続して治療が必要となる疾病であり、短期で治癒する疾病は対象として
いない。","症状、治療の状況等の疾病に関する情報は機微な個人情報であるため、労働安全衛生法に基づく健康診断において把握した場合を除いては、事業者が本人の同意なく取得してはな
らない。", 治療と仕事の両立に関しては、プライバシーの観点から当事者や当事者の所属部門に限定して、事業場内ルールの周知や社内研修等を通じた意識啓発を進めるのが良い。,4
" 発達障害のある人が職場に適応するための、上司や同僚がとるべき対応に関する次の記
述のうち、最も適切なものはどれか。","不注意傾向や注意散漫傾向がある人には、誰にも邪魔されない一人だけの時間と空間を一
定時間持てるようにする。", 多動で落ち着きが無い傾向がある人には、からだの動きの少ない仕事に就かせる。,時間の管理ができない傾向がある人には、一日の中に過密にスケジュールを入れるようにする。,仕事の先延ばし傾向がある人には、できるときにやればよいことを伝える。,1
" 次の記述のうち、マイクロカウンセリングの積極技法の一つである「フィードバック」の
説明として、最も適切なものはどれか。","クライエントの複雑な心配事に対して、選択的にかかわることによって、問題を様々な視
点からみられるようにする。","クライエントの問題や表現の不一致に気づかせることによって、クライエントの自己探
求と問題解決を容易にする。","クライエントに具体的な行動を指示することによって、状況を新しい方法で考えること
ができるようになり、新しい行動様式を生み出す。","クライエントに具体的な行動を指示することによって、状況を新しい方法で考えること
ができるようになり、新しい行動様式を生み出す。",4
" カウンセリングにおける傾聴の意義に関する次の記述のうち、最も不適切なものはどれ
か。","クライエントが、自分の感情に対し、カウンセラーが受容的に傾聴していることに気づく
につれて、少しずつ自分のこころの声に耳を傾けるようになる。","クライエントが、自分の中にある社会的に望ましくない考えや感情を押し殺して、周囲の
人から求められる自分を成長させていくことができる。","クライエントが、自分のこころの声に耳を傾けられるようになると、自分自身に対してよ
り受容的になり、ありのままの自分を受容するようになる。","クライエントが、自分に対して評価的でなくなり、防衛的な行動をやめて、本当のあるが
ままの姿に開かれ、生命体として自然な方向へと自由に変化し成長することができる。",2
 グループアプローチに関する次の記述のうち、最も適切なものはどれか。,"行動療法の考え方に基づいて対人関係の成功体験を重視する「対人関係ゲーム（Social
Interactive Games）」は、レヴィン（Lewin, K.）が創案した。","ドラマ的手法により人間存在の真実および環境場面の現実を探求する「サイコドラマ
（Sychodrama）」は、モレノ（Moreno, J. L.）が提唱した。","対人感受性や対人関係を学ぶための体験学習である「Tグループ（T-group）」は、ロジ
ャーズ（Rogers, C. R.）の理論と実践に基づく。","真実の自分になれる場という役割がある「エンカウンターグループ（Encounter Group）」
は、國分康孝により開発された。",2
 ジョブ・カードに関する次の記述のうち、適切なものはどれか。,"ジョブ・カードは、公共職業安定所が様式を定めた「就職時のキャリア・プランニング」
及び「職業適性証明」の機能を担うツールである。",ジョブ・カードは、大きく2つの様式（シート）で構成されている。,"ジョブ・カードを作成することで、自分の強み・弱みや能力に気付くことができ、これま
での経験を踏まえたこれからのキャリアプラン、それに向かってやるべきことが描けるよ
うになる。","マイジョブ・カードで登録した情報で、ハローワークインターネットサービスで求職登録
はできるが、民間の就職・転職サイトには登録できない。",3
" カウンセリングにおいて、「見立て」を行う際に考慮すべき事項に関する次の記述のうち、
最も不適切なものはどれか。","クライエントが解決したいと望んでいることを明らかにし、その問題がどの程度生活の支
障になっているかを確かめる。"," 解決したい問題について、クライエントがどのように対応し取り組んでいるかを明らか
にする。","問題がいつから生じ、これまでどんな展開があったか、その経過中にどのような対応や関
わりがあったかを明らかにする。","クライエントのプライバシーに配慮して、家族成員との関わりや学校・職場での適応状況
を確かめる必要はない。",4
" キャリアコンサルティングにおける「相談場面の設定」に関する次の記述のうち、
最も適切なものはどれか。","キャリアコンサルティングでは、相談内容にかかわらず、プライバシーへの配慮よりも効
率よく相談を行えるオープンな物理的環境の設定を優先すべきである。","ラポールづくりでは、キャリアコンサルタントが「客観的で説得力に満ちた指導関係」を
作り、維持することが大切である。","キャリアコンサルティングにおいて意思決定を行うのは、キャリアコンサルタントであ
る。"," キャリアコンサルタントは、相談の緊要度について相談者との間で合意を得る必要があ
る。",4
" 厚生労働省編一般職業適性検査[進路指導・職業指導用]（GATB）に関する次の記述の
うち、不適切なものはどれか。",制限時間内にできるだけ早く正確に回答する最大能力検査である。,"適性能として知的能力、言語能力、数理能力、書記的知覚、空間判断力、形態知覚、運動
共応、指先の器用さ、手腕の器用さを測定する。","適性能とは顕在的な能力のことであり、その職業に就くための訓練や教育を受け、その職
業でうまくやっていけるかどうかを明確化するものである。",13歳以上45歳未満の者に使用することができる。,3
"2022 年に改定された厚生労働省編職業分類（第 5 回改定）に関する次の記述のうち、
不適切なものはどれか。",国際標準職業分類に準拠するという観点から改定が行われた。,"大分類の見直しでは、旧大分類の異なる複数の項目を統合して新たな分類項目を設定し
た。",中分類の見直しでは、旧大分類の変更、分類項目の新設、分割、名称変更を行った。,"小分類の見直しでは、旧小分類と旧細分類を統合し、新たな分類項目を設定するとともに、
旧小分類を分割・細分化した。",1
" 大学のキャリア形成支援において求められる個別相談能力に関する次の記述のうち、
最も不適切なものはどれか。","心身に問題があり、特に支援が必要な学生に対しては、話を聞いた上で、必要に応じ学内・
学外機関や専門家へのリファーを検討する。"," 企業の求人情報などを理解し、学生のニーズに応じて適切な情報をタイミングよく提供
する。",エントリーシートやジョブ・カードなどの作成の支援を行い、活用する。,"長期的視野からの支援ではなく、特に大学では個人の就職活動支援という短期的目的を
達成するように支援する。",4
"自己啓発の支援やトライアル雇用にかかる支援を行う際の留意点に関する次の記述のう
ち、最も適切なものはどれか。","キャリアコンサルティングにおいて自己啓発の支援を行う場合、職業体験の目的に関して
はクライエントが把握しておけば十分で、キャリアコンサルタントと共有する必要はない。"," 啓発的経験には、インターンシップやトライアル雇用、現場見学のほかに、相談者にとっ
て有益な体験となるアルバイトも含まれる。","トライアル雇用には本人が目的を明確にして参加することが大切であり、振り返りは必
ずしも必要ではない。",トライアル雇用の場合、当該事業所への就職が保証されている。,2
"意思決定支援におけるキャリア・プランの作成支援に関する次の記述のうち、最も適切
なものはどれか。","キャリア・プランの作成支援は意思決定支援において重要なステップであり、決定したプ
ランを変更することは避けなければならない。","人生においては働くことが最優先であるため、はじめに職業人生の設計に重点を置き、次
に家族との生活設計を考えるとよい。","キャリア・プランには短期視点と長期視点があるが、キャリアコンサルティングでは、短
期的視点のみを取り扱う。","キャリア・プランの目標達成に必要な学習や訓練に関する情報を提供することもキャリ
アコンサルタントの役割として重要である。",4
 方策の実行の支援に関する次の記述のうち、最も不適切なものはどれか。,"方策実行にあたり、これからの実際の生活場面をイメージする中で、やる気だけでなく、
自己効力感も高めることが重要である。","方策実行の前に、予想される問題点や困難な点を挙げて、それに対する対処方法をイメー
ジさせることは、相談者が委縮してしまうため、避けたほうがよい。","方策実行の前に、他者のうまく行動している様子を観察して学ぶモデリングを行うと、相
談者の方策に対する自己効力感を高めることができる。","方策の実行中はキャリアコンサルタントの支援が届かないので、事前に相談者に自己モ
ニタリングの仕方を習得させておくとよい。",2
 相談過程の終結に関する次の記述のうち、最も不適切なものはどれか。,"方策の実行中はキャリアコンサルタントの支援が届かないので、事前に相談者に自己モ
ニタリングの仕方を習得させておくとよい。","終結について相談者に尋ねた際に、「大丈夫」と微笑んで答えた場合でも、分離不安があ
る可能性は考えられる。","終結を話題にするにあたって、当初の主訴や目標と照らし合わせて相談者の変化がどう
だったかということから話し始めるとよい。","終結後にどのような職業生活が待っているかについて、相談者に希望や期待を語っても
らう。",1
" セルフ・キャリアドックにおいて実施するそれぞれのメニューに関する次の記述のうち、
最も不適切なものはどれか。","セルフ・キャリアドックの趣旨についての事前の説明会を、キャリア研修・キャリアコン
サルティング面談を担当するキャリアコンサルタントが行うことは、その後の面談の「顔
合わせ」の場としても効果的である。","セルフ・キャリアドックで行う集合研修は、セルフ・キャリアドックの趣旨の理解が目的
であり、参加者間の相互啓発は期待できない。","セルフ・キャリアドックの面談に先立ち、集合研修に参加した対象従業員に事前にアンケ
ートを行い、研修での気づき等を把握することで、その結果を面談の参考にすることがで
きる。","セルフ・キャリアドック実施後のフォローアップをキャリアコンサルタントが行うこと
は、セルフ・キャリアドックの展開において効果的である。",2
